id,Quarter ending,State,Unit,Value
106,2005 Q3,Queensland,$ per megawatt hour,22
107,2005 Q3,South Australia,$ per megawatt hour,34
108,2005 Q3,Tasmania,$ per megawatt hour,100
109,2005 Q3,Victoria,$ per megawatt hour,30
110,2005 Q4,New South Wales,$ per megawatt hour,73
111,2005 Q4,Queensland,$ per megawatt hour,39
112,2005 Q4,South Australia,$ per megawatt hour,47
113,2005 Q4,Tasmania,$ per megawatt hour,63
114,2005 Q4,Victoria,$ per megawatt hour,32
115,2006 Q1,New South Wales,$ per megawatt hour,45
116,2006 Q1,Queensland,$ per megawatt hour,38
117,2006 Q1,South Australia,$ per megawatt hour,57
118,2006 Q1,Tasmania,$ per megawatt hour,33
119,2006 Q1,Victoria,$ per megawatt hour,53
120,2006 Q2,New South Wales,$ per megawatt hour,28
121,2006 Q2,Queensland,$ per megawatt hour,25
122,2006 Q2,South Australia,$ per megawatt hour,38
123,2006 Q2,Tasmania,$ per megawatt hour,38
124,2006 Q2,Victoria,$ per megawatt hour,30
125,2006 Q3,New South Wales,$ per megawatt hour,39
126,2006 Q3,Queensland,$ per megawatt hour,26
127,2006 Q3,South Australia,$ per megawatt hour,43
128,2006 Q3,Tasmania,$ per megawatt hour,42
129,2006 Q3,Victoria,$ per megawatt hour,39
130,2006 Q4,New South Wales,$ per megawatt hour,27
131,2006 Q4,Queensland,$ per megawatt hour,23
132,2006 Q4,South Australia,$ per megawatt hour,40
133,2006 Q4,Tasmania,$ per megawatt hour,37
134,2006 Q4,Victoria,$ per megawatt hour,29
135,2007 Q1,New South Wales,$ per megawatt hour,57
136,2007 Q1,Queensland,$ per megawatt hour,60
137,2007 Q1,South Australia,$ per megawatt hour,69
138,2007 Q1,Tasmania,$ per megawatt hour,50
139,2007 Q1,Victoria,$ per megawatt hour,75
140,2007 Q2,New South Wales,$ per megawatt hour,146
141,2007 Q2,Queensland,$ per megawatt hour,119
142,2007 Q2,South Australia,$ per megawatt hour,83
143,2007 Q2,Tasmania,$ per megawatt hour,74
144,2007 Q2,Victoria,$ per megawatt hour,99
145,2007 Q3,New South Wales,$ per megawatt hour,59
146,2007 Q3,Queensland,$ per megawatt hour,56
147,2007 Q3,South Australia,$ per megawatt hour,62
148,2007 Q3,Tasmania,$ per megawatt hour,65
149,2007 Q3,Victoria,$ per megawatt hour,60
150,2007 Q4,New South Wales,$ per megawatt hour,41
151,2007 Q4,Queensland,$ per megawatt hour,56
152,2007 Q4,South Australia,$ per megawatt hour,46
153,2007 Q4,Tasmania,$ per megawatt hour,44
154,2007 Q4,Victoria,$ per megawatt hour,44
155,2008 Q1,New South Wales,$ per megawatt hour,34
156,2008 Q1,Queensland,$ per megawatt hour,81
157,2008 Q1,South Australia,$ per megawatt hour,243
158,2008 Q1,Tasmania,$ per megawatt hour,54
159,2008 Q1,Victoria,$ per megawatt hour,50
160,2008 Q2,New South Wales,$ per megawatt hour,42
161,2008 Q2,Queensland,$ per megawatt hour,38
162,2008 Q2,South Australia,$ per megawatt hour,46
163,2008 Q2,Tasmania,$ per megawatt hour,61
