Period,State,Unit,Value
Winter 2000,Victoria, (Megawatts),7113
Winter 2001,New South Wales, (Megawatts),11713
Winter 2001,Queensland, (Megawatts),6397
Winter 2001,South Australia, (Megawatts),2095
Winter 2001,Victoria, (Megawatts),7137
Winter 2002,New South Wales, (Megawatts),12074
Winter 2002,Queensland, (Megawatts),6345
Winter 2002,South Australia, (Megawatts),2129
Winter 2002,Victoria, (Megawatts),7300
Winter 2003,New South Wales, (Megawatts),12468
Winter 2003,Queensland, (Megawatts),6778
Winter 2003,South Australia, (Megawatts),2137
Winter 2003,Victoria, (Megawatts),7499
Winter 2004,New South Wales, (Megawatts),13041
Winter 2004,Queensland, (Megawatts),7106
Winter 2004,South Australia, (Megawatts),2156
Winter 2004,Victoria, (Megawatts),7437
Winter 2005,New South Wales, (Megawatts),13123
Winter 2005,Queensland, (Megawatts),7249
Winter 2005,South Australia, (Megawatts),2263
Winter 2005,Tasmania, (Megawatts),1718
Winter 2005,Victoria, (Megawatts),7750
Winter 2006,New South Wales, (Megawatts),13078
Winter 2006,Queensland, (Megawatts),7614
Winter 2006,South Australia, (Megawatts),2379
Winter 2006,Tasmania, (Megawatts),1747
Winter 2006,Victoria, (Megawatts),7880
Winter 2007,New South Wales, (Megawatts),13894
Winter 2007,Queensland, (Megawatts),7838
Winter 2007,South Australia, (Megawatts),2460
Winter 2007,Tasmania, (Megawatts),1827
Winter 2007,Victoria, (Megawatts),8369
Winter 2008,New South Wales, (Megawatts),14292
Winter 2008,Queensland, (Megawatts),8203
Winter 2008,South Australia, (Megawatts),2534
Winter 2008,Tasmania, (Megawatts),1884
Winter 2008,Victoria, (Megawatts),8089
Winter 2009,New South Wales, (Megawatts),13003
Winter 2009,Queensland, (Megawatts),7707
Winter 2009,South Australia, (Megawatts),2441
Winter 2009,Tasmania, (Megawatts),1763
Winter 2009,Victoria, (Megawatts),8188
Winter 2010,New South Wales, (Megawatts),13324
Winter 2010,Queensland, (Megawatts),7421
Winter 2010,South Australia, (Megawatts),2508
Winter 2010,Tasmania, (Megawatts),1783
Winter 2010,Victoria, (Megawatts),8127
Winter 2011,New South Wales, (Megawatts),12942
Winter 2011,Queensland, (Megawatts),7725
Winter 2011,South Australia, (Megawatts),2385
Winter 2011,Tasmania, (Megawatts),1830
Winter 2011,Victoria, (Megawatts),8242
Winter 2012,New South Wales, (Megawatts),12205
Winter 2012,Queensland, (Megawatts),7461
Winter 2012,South Australia, (Megawatts),2419
Winter 2012,Tasmania, (Megawatts),1705
Winter 2012,Victoria, (Megawatts),7950
Winter 2013,New South Wales, (Megawatts),11662
Winter 2013,Queensland, (Megawatts),7233
Winter 2013,South Australia, (Megawatts),2352
Winter 2013,Tasmania, (Megawatts),1766
Winter 2013,Victoria, (Megawatts),7898
Winter 2014,New South Wales, (Megawatts),11412
Winter 2014,Queensland, (Megawatts),7407
Winter 2014,South Australia, (Megawatts),2395
Winter 2014,Tasmania, (Megawatts),1728
Winter 2014,Victoria, (Megawatts),7648
Winter 2015,New South Wales, (Megawatts),12129
Winter 2015,Queensland, (Megawatts),8006
Winter 2015,South Australia, (Megawatts),2450
Winter 2015,Tasmania, (Megawatts),1747
Winter 2015,Victoria, (Megawatts),7923
Winter 2016,New South Wales, (Megawatts),12620
Winter 2016,Queensland, (Megawatts),8117
Winter 2016,South Australia, (Megawatts),2460
Winter 2016,Tasmania, (Megawatts),1676
Winter 2016,Victoria, (Megawatts),7767
Winter 2017,New South Wales, (Megawatts),11986
Winter 2017,Queensland, (Megawatts),7805
Winter 2017,South Australia, (Megawatts),2307
Winter 2017,Tasmania, (Megawatts),1743
Winter 2017,Victoria, (Megawatts),7472
Winter 2018,New South Wales, (Megawatts),12123
Winter 2018,Queensland, (Megawatts),8277
Winter 2018,South Australia, (Megawatts),2380
Winter 2018,Tasmania, (Megawatts),1736
Winter 2018,Victoria, (Megawatts),7484
Winter 2019,New South Wales, (Megawatts),12140
Winter 2019,Queensland, (Megawatts),8189
Winter 2019,South Australia, (Megawatts),2565
Winter 2019,Tasmania, (Megawatts),1756
Winter 2019,Victoria, (Megawatts),7601
Winter 2020,New South Wales, (Megawatts),12165
Winter 2020,Queensland, (Megawatts),8250
Winter 2020,South Australia, (Megawatts),2512
Winter 2020,Tasmania, (Megawatts),1699
Winter 2020,Victoria, (Megawatts),7630
Winter 2021 (YTD),New South Wales, (Megawatts),12989
Winter 2021 (YTD),Queensland, (Megawatts),7980
Winter 2021 (YTD),South Australia, (Megawatts),2420
Winter 2021 (YTD),Tasmania, (Megawatts),1769
Winter 2021 (YTD),Victoria, (Megawatts),7647
